time,open,high,low,close
1980-07-01T00:00:00+01:00,85.09999847,86.08000183,84.12000275,86.08000183
1980-08-01T00:00:00+01:00,86.48999786,86.86000061,85.44999695,85.84999847
1980-08-31T22:00:00+01:00,85.19000244,86.29000092,85.08000183,86.01999664
1980-10-01T00:00:00+01:00,85.75,88.37999725,85.43000031,88.37999725
1980-11-02T22:00:00Z,88.63999939,90.12000275,88.43000031,90.01000214
1980-11-30T22:00:00Z,90.55000305,92.66000366,89.86000061,90.38999939
1981-01-01T00:00:00Z,90.51000214,95.23999786,88.94999695,95.23999786
1981-02-01T22:00:00Z,94.81999969,98.18000031,94.58999634,97.05999756
1981-03-01T22:00:00Z,97.94999695,97.94999695,94.23999786,96.76000214
1981-04-01T01:00:00+01:00,96.27999878,100.44999695,96.27999878,100.44999695
1981-05-01T00:00:00+01:00,100.27999878,105.36000061,100.27999878,104.94999695
1981-05-31T22:00:00+01:00,104.98999786,108.47000122,104.98999786,107.70999908
1981-07-01T00:00:00+01:00,108.51999664,111.72000122,108.51999664,111.72000122
1981-08-02T22:00:00+01:00,114.02999878,114.87999725,110.01000214,110.27999878
1981-09-01T00:00:00+01:00,110.76000214,110.76000214,103.83999634,107.73000336
1981-10-01T00:00:00+01:00,107.56999969,108.65000153,103.86000061,106.12999725
1981-11-01T22:00:00Z,104.98999786,105.34999847,103.18000031,103.18000031
1981-12-01T00:00:00Z,103.65000153,106.45999908,103.37000275,104.69000244
1982-01-01T00:00:00Z,104.62000275,108.77999878,104.62000275,108.02999878
1982-01-31T22:00:00Z,109.31999969,111.93000031,109.13999939,111.93000031
1982-02-28T22:00:00Z,111.95999908,114.73000336,110.27999878,114.73000336
1982-04-01T01:00:00+01:00,114.16000366,115.36000061,111.59999847,111.59999847
1982-05-02T22:00:00+01:00,111.51000214,112.79000092,109.69999695,112.79000092
1982-06-01T00:00:00+01:00,113.70999908,120.47000122,113.25,119.04000092
1982-07-01T00:00:00+01:00,119.33000183,121.05999756,116.12000275,119.05000305
1982-08-01T22:00:00+01:00,117.80000305,121.41000366,116.94999695,120.29000092
1982-09-01T00:00:00+01:00,120.02999878,122.76000214,118.77999878,122.19999695
1982-10-01T00:00:00+01:00,122.13999939,124.77999878,121.23000336,124.77999878
1982-10-31T22:00:00Z,124.36000061,126.01999664,121,121
1982-12-01T00:00:00Z,121.02999878,121.44999695,117.05000305,117.36000061
1983-01-02T22:00:00Z,116.97000122,121.12000275,115.43000031,121.12000275
1983-02-01T00:00:00Z,120.98999786,122.27999878,118.01999664,120.34999847
1983-03-01T00:00:00Z,120.79000092,122.65000153,118.97000122,122.20999908
1983-04-01T01:00:00+01:00,122.26999664,122.43000031,121.13999939,122.38999939
1983-05-01T22:00:00+01:00,122.04000092,123.79000092,120.90000153,123.79000092
1983-06-01T00:00:00+01:00,124.68000031,126.20999908,124.25,124.94000244
1983-07-01T00:00:00+01:00,124.98000336,128.44000244,124.98000336,128.44000244
1983-07-31T22:00:00+01:00,129.67999268,131.94000244,128.08999634,130.83999634
1983-09-01T00:00:00+01:00,130.74000549,130.77000427,128.3500061,128.3500061
1983-10-02T22:00:00+01:00,128.1499939,128.44000244,126.20999908,128.3999939
1983-11-01T00:00:00Z,129.22999573,131.36000061,128.8999939,130.63999939
1983-12-01T00:00:00Z,130.77999878,134.05000305,130.77999878,131.78999329
1984-01-01T22:00:00Z,133.19000244,136.1499939,133.19000244,135.50999451
1984-02-01T00:00:00Z,134.6499939,134.6499939,128.25,128.25
1984-03-01T00:00:00Z,128.67999268,129.97000122,126.18000031,128.22000122
1984-04-01T23:00:00+01:00,128.36000061,132.63999939,128.36000061,132.63999939
1984-05-01T00:00:00+01:00,132.94999695,135.05999756,132.1000061,133.69000244
1984-06-01T00:00:00+01:00,132,136.8999939,131.5,136.25999451
1984-07-01T22:00:00+01:00,136.69999695,141.28999329,136.69999695,141.28999329
1984-08-01T00:00:00+01:00,141.71000671,141.71000671,139.00999451,140.33000183
1984-09-02T22:00:00+01:00,141.91999817,149.30000305,141.91999817,147.55000305
1984-09-30T22:00:00+01:00,147.05000305,150.08999634,145.49000549,146.38999939
1984-11-01T00:00:00Z,144.75999451,149.21000671,142.32000732,149.21000671
1984-12-02T22:00:00Z,149.50999451,151.47000122,147.47000122,151.47000122
1985-01-01T00:00:00Z,152.22999573,153.88999939,151.80000305,152.72000122
1985-02-01T00:00:00Z,153.47000122,164.72000122,153.47000122,160.41000366
1985-03-01T00:00:00Z,161.03999329,163.83000183,149.17999268,149.17999268
1985-03-31T23:00:00+01:00,150.6499939,153.16000366,144.83000183,149.69999695
1985-05-01T00:00:00+01:00,151.57000732,154.52000427,147.05999756,147.86000061
1985-06-02T22:00:00+01:00,146.94000244,149.41000366,145.91999817,146.11999512
1985-06-30T22:00:00+01:00,146.44000244,146.61000061,137.25999451,137.25999451
1985-08-01T00:00:00+01:00,138.41999817,139.8500061,135.55999756,138.19999695
1985-09-01T22:00:00+01:00,139.91000366,144.19000244,131.55000305,132.11999512
1985-10-01T00:00:00+01:00,131.1499939,132.38000488,129.38999939,129.38999939
1985-11-01T00:00:00Z,128.69000244,129.67,124.77,124.99
1985-12-01T22:00:00Z,124.51,127.68,123.45,123.46
1986-01-01T00:00:00Z,123.94,125.21,121.08,121.52
1986-02-02T22:00:00Z,121.78,123.26,114.21,115.08
1986-03-02T22:00:00Z,114.94,119.45,113.66,117.92
1986-04-01T01:00:00+01:00,117.79,121.16,110.76,111.77
1986-05-01T00:00:00+01:00,112.3,117.74,110.5,117.51
1986-06-01T22:00:00+01:00,117.92,118.03,111.61,111.61
1986-07-01T00:00:00+01:00,111.3,112.63,108.03,108.04
1986-08-01T00:00:00+01:00,107.7,108.35,106.31,106.43
1986-08-31T22:00:00+01:00,106.33,108.98,104.92,106.74
1986-10-01T00:00:00+01:00,106.84,109.77,104.99,109.27
1986-11-02T22:00:00Z,109.62,109.7,105.91,105.92
1986-11-30T22:00:00Z,105.46,107.94,103.55,103.61
1987-01-01T00:00:00Z,103.4,104.35,97.1,99.86
1987-02-01T22:00:00Z,99.27,101.21,97.87,99.26
1987-03-01T22:00:00Z,99.18,100.44,96.81,97.11
1987-04-01T01:00:00+01:00,97.76,98.44,95.25,95.94
1987-05-01T00:00:00+01:00,95.85,97.91,94.82,97.77
1987-05-31T22:00:00+01:00,98.32,99.06,96,98.13
1987-07-01T00:00:00+01:00,98.11,100.23,97.97,99.79
1987-08-02T22:00:00+01:00,99.76,101.74,96.95,97.41
1987-09-01T00:00:00+01:00,97.04,98.69,95.97,98.57
1987-10-01T00:00:00+01:00,98.61,98.81,93.26,93.65
1987-11-01T22:00:00Z,93.25,93.36,89.03,89.15
1987-12-01T00:00:00Z,89.99,90.79,85.33,85.42
1988-01-01T00:00:00Z,85.89,90.84,85.87,90.34
1988-01-31T22:00:00Z,90.75,92.04,90.3,90.53
1988-03-01T00:00:00Z,90.54,90.96,88.16,88.3
1988-04-01T01:00:00+01:00,88.37,90.12,87.87,89.16
1988-05-01T22:00:00+01:00,89.32,91.12,88.94,91.09
1988-06-01T00:00:00+01:00,90.89,96.09,90.49,95.41
1988-07-01T00:00:00+01:00,95.89,98.6,95.07,97.53
1988-07-31T22:00:00+01:00,97.43,99.61,96.86,98.41
1988-09-01T00:00:00+01:00,98.53,98.83,96.79,97.69
1988-10-02T22:00:00+01:00,97.63,97.65,92.82,93.76
1988-11-01T00:00:00Z,93.68,93.96,90.05,90.53
1988-12-01T00:00:00Z,90.5,93.66,90.04,92.5
1989-01-01T22:00:00Z,91.92,96.84,91.77,96.77
1989-02-01T00:00:00Z,96.68,97.17,94.39,95.67
1989-03-01T00:00:00Z,95.67,98.53,95.57,98.14
1989-04-02T22:00:00+01:00,97.99,98.04,96.11,97.71
1989-04-30T22:00:00+01:00,98.02,104.28,97.89,102.98
1989-06-01T00:00:00+01:00,103.05,106.56,100.66,102.02
1989-07-02T22:00:00+01:00,101.23,101.24,97.29,97.39
1989-08-01T00:00:00+01:00,97.47,102.46,96.76,102.28
1989-09-01T00:00:00+01:00,102.43,104.19,98.06,98.47
1989-10-01T22:00:00+01:00,98.65,101.31,97.49,98.07
1989-11-01T00:00:00Z,98.17,99.06,96.13,96.27
1989-12-01T00:00:00Z,96.48,96.65,92.6,93.21
1989-12-31T22:00:00Z,93.08,94.54,91.89,92.41
1990-02-01T00:00:00Z,92.39,93.96,91.26,93.96
1990-03-01T00:00:00Z,93.67,94.72,93.23,93.69
1990-04-01T22:00:00+01:00,94.2,94.32,92.71,93.07
1990-05-01T00:00:00+01:00,93.24,93.3,90.66,92.98
1990-06-01T00:00:00+01:00,92.89,93.36,91.13,91.15
1990-07-01T22:00:00+01:00,90.77,90.85,87.14,87.17
1990-08-01T00:00:00+01:00,87.4,89.08,84.9,86.61
1990-09-02T22:00:00+01:00,86.61,87.39,84.74,86
1990-09-30T22:00:00+01:00,85.16,85.52,81.92,83.19
1990-11-01T00:00:00Z,83.51,83.62,81.27,83
1990-12-02T22:00:00Z,83.52,85.39,81.73,83.07
1991-01-01T00:00:00Z,82.93,85.22,81.91,81.93
1991-02-01T00:00:00Z,82.18,84.23,80.34,84.12
1991-03-01T00:00:00Z,84.71,92.46,84.23,92.04
1991-03-31T23:00:00+01:00,91.32,94.46,89.29,91.59
1991-05-01T00:00:00+01:00,91.17,93.58,90.74,93.13
1991-06-02T22:00:00+01:00,93.73,96.75,93.02,96.06
1991-06-30T22:00:00+01:00,96.07,97.32,92.89,93.45
1991-08-01T00:00:00+01:00,93.62,96.56,91.85,93.49
1991-09-01T22:00:00+01:00,93.18,93.31,89.65,89.76
1991-10-01T00:00:00+01:00,90.01,92.03,89.39,89.93
1991-11-01T00:00:00Z,89.72,89.76,86.26,88.19
1991-12-01T22:00:00Z,87.54,87.87,83.21,83.52
1992-01-01T00:00:00Z,83.35,88.68,82.8,87.49
1992-02-02T22:00:00Z,87.14,89.92,85.23,88.99
1992-03-01T22:00:00Z,89.12,91.53,88.7,89.65
1992-04-01T01:00:00+01:00,89.62,90.78,88.43,89.62
1992-05-01T00:00:00+01:00,89.54,89.6,86.58,87.22
1992-05-31T22:00:00+01:00,87.27,87.81,83.24,83.72
1992-07-01T00:00:00+01:00,83.72,83.97,80.58,81.91
1992-08-02T22:00:00+01:00,81.94,82.57,78.67,78.87
1992-09-01T00:00:00+01:00,78.83,85.96,78.19,81.1
1992-10-01T00:00:00+01:00,81.05,88.59,81.05,87.58
1992-11-01T22:00:00Z,87.67,91.55,87.66,90.85
1992-12-01T00:00:00Z,90.89,92.52,88.64,92.36
1993-01-01T00:00:00Z,92.39,93.75,90.09,92.45
1993-01-31T22:00:00Z,92.47,94.86,92.42,94.05
1993-02-28T22:00:00Z,94.05,94.8,91.79,91.9
1993-04-01T01:00:00+01:00,91.96,92.31,88.37,89.52
1993-05-02T22:00:00+01:00,89.55,91.38,88.53,89.02
1993-06-01T00:00:00+01:00,89.1,94.32,88.85,93.63
1993-07-01T00:00:00+01:00,93.65,95.62,91.9,95.37
1993-08-01T22:00:00+01:00,95.48,95.8,93.12,93.95
1993-09-01T00:00:00+01:00,93.96,94.15,90.29,92.81
1993-10-01T00:00:00+01:00,92.8,95.34,91.21,95.08
1993-10-31T22:00:00Z,95.19,96.37,94.41,96.21
1993-12-01T00:00:00Z,96.21,96.85,94.67,96.84
1994-01-02T22:00:00Z,96.76,97.09,95.15,95.59
1994-02-01T00:00:00Z,95.46,97.1,94.34,94.55
1994-03-01T00:00:00Z,94.61,95.42,92.86,93.06
1994-04-01T01:00:00+01:00,93.38,95.33,91.71,92.12
1994-05-01T22:00:00+01:00,92.57,94.11,91.53,92.52
1994-06-01T00:00:00+01:00,92.47,93.58,89.09,89.62
1994-07-01T00:00:00+01:00,89.55,90.56,87.01,89.87
1994-07-31T22:00:00+01:00,89.39,90.31,87.44,89.67
1994-09-01T00:00:00+01:00,89.71,89.72,87.14,87.88
1994-10-02T22:00:00+01:00,87.72,88.37,84.91,85.69
1994-11-01T00:00:00Z,85.43,89.27,85.2,89.13
1994-12-01T00:00:00Z,89.03,90.18,88.46,88.72
1995-01-01T22:00:00Z,89.09,89.63,86.95,87.99
1995-02-01T00:00:00Z,88.04,88.49,85.75,85.93
1995-03-01T00:00:00Z,86.07,86.08,81.47,81.9
1995-04-02T22:00:00+01:00,81.97,83.03,80.22,81.8
1995-04-30T22:00:00+01:00,81.78,84.84,80.55,82.57
1995-06-01T00:00:00+01:00,83.45,83.45,81.35,81.58
1995-07-02T22:00:00+01:00,81.52,82.54,81.22,81.57
1995-08-01T00:00:00+01:00,81.65,86.6,81.03,85.57
1995-09-01T00:00:00+01:00,85.7,87.37,83.5,84.29
1995-10-01T22:00:00+01:00,84.36,84.84,82.99,83.66
1995-11-01T00:00:00Z,83.84,85.38,83.34,85.26
1995-12-01T00:00:00Z,85.32,85.59,84.41,84.76
1995-12-31T22:00:00Z,84.56,87.72,84.48,87.38
1996-02-01T00:00:00Z,87.32,87.56,85.26,86.29
1996-03-01T00:00:00Z,86.6,87.12,86.08,86.52
1996-03-31T23:00:00+01:00,86.64,88.29,86.27,88.02
1996-05-01T00:00:00+01:00,88.35,89.04,87.38,87.78
1996-06-02T22:00:00+01:00,87.87,88.56,87.35,87.82
1996-06-30T22:00:00+01:00,87.8,88.29,85.69,85.9
1996-08-01T00:00:00+01:00,86.03,86.95,85.81,86.36
1996-09-01T22:00:00+01:00,86.49,88.1,86.32,87.94
1996-10-01T00:00:00+01:00,87.93,88.53,86.93,87.43
1996-11-01T00:00:00Z,87.31,87.96,86.06,87.92
1996-12-01T22:00:00Z,88.02,89.14,87.77,88.12
